number,title,login,created_at,closed_at,is_pr
329,Fix various type-instabilities,sethaxen,2020-12-15T22:29:36.0,2020-12-16T06:18:12.0,true
328,BLAS.gemm and BLAS.gemv pullbacks are type-unstable,sethaxen,2020-12-15T21:24:14.0,,false
327,Fixing and testing rules for functions with real and complex inputs,sethaxen,2020-12-14T22:58:28.0,,false
326, Zygote Integration testing,willtebbutt,2020-12-09T23:41:18.0,,false
325,WIP matmul on arrays of arrays,oxinabox,2020-12-08T20:11:20.0,,true
324,Some Adjoint and Transpose stuff,willtebbutt,2020-12-06T15:18:55.0,2020-12-10T22:32:43.0,true
323,Add rules for Symmetric/Hermitian eigen and svd,sethaxen,2020-12-06T12:49:25.0,,true
322,Move Symmetric/Hermitian rules and tests to own file,sethaxen,2020-12-06T00:35:20.0,2020-12-06T12:18:07.0,true
321,Add eigen and eigvals rules for StridedMatrix,sethaxen,2020-12-04T23:11:53.0,2020-12-09T22:29:17.0,true
320,Only define rules for SpecialFunctions if needed,devmotion,2020-12-04T18:50:31.0,2020-12-07T12:30:00.0,true
319,Drop SpecialFunctions dependency,stevengj,2020-12-04T15:59:21.0,,false
318,Add Integration Test for ReversePropagation.jl,oxinabox,2020-12-03T14:27:00.0,,false
317,"Unrevert ""Tighten up a bunch of test accurasy requirements now that have FiniteDifferences v0.11.4 )",oxinabox,2020-12-02T16:12:17.0,2020-12-03T22:15:00.0,true
316,"Revert ""Tighten up a bunch of test accurasy requirements now that have FiniteDifferences v0.11.4 (#315)""",oxinabox,2020-12-02T16:09:01.0,2020-12-02T16:11:10.0,true
315,Tighten up a bunch of test accurasy requirements now that have FiniteDifferences v0.11.4,oxinabox,2020-12-01T18:54:42.0,2020-12-02T15:59:40.0,true
314,rrule for map,CarloLucibello,2020-12-01T10:21:34.0,,false
313,invalid non-differentiability rule for joinpath,gxyd,2020-11-27T05:18:08.0,2020-11-27T05:20:39.0,false
312,Gradient for matrix `muladd`,mcabbott,2020-11-20T08:59:52.0,,true
311,Revamp Cholesky implementation,willtebbutt,2020-11-19T23:03:26.0,2020-12-09T21:45:59.0,true
310,non-differentiability of ops on AbstractArray{Bool},gxyd,2020-11-19T07:56:28.0,2020-12-03T09:00:14.0,true
309,Add GitHub Actions CI workflow,sethaxen,2020-11-18T20:44:18.0,2020-12-03T20:18:36.0,true
308,Print what is being testing during tests and timing,oxinabox,2020-11-17T21:22:45.0,2020-11-18T15:23:41.0,true
307,"Delete ChainRulesTestUtils submodule, and ignore",oxinabox,2020-11-17T17:14:44.0,2020-11-17T18:45:57.0,true
306,Implement QR pullback,Kolaru,2020-11-15T13:13:18.0,,true
305,add rules for vector-matrix and matrix-vector product,gxyd,2020-11-11T12:05:31.0,2020-11-17T21:02:20.0,true
304,Remove uses of similar to generate test inputs,oxinabox,2020-11-10T13:45:50.0,2020-11-10T16:02:49.0,true
303,Shoud  FillArrays.Zeros be differentiable?,oxinabox,2020-11-08T14:04:52.0,2020-11-08T14:09:01.0,false
302,reuse factorization in rule for \,oxinabox,2020-11-03T00:02:03.0,,true
301,TagBot trigger issue,JuliaTagBot,2020-11-02T17:00:51.0,2020-11-02T17:00:52.0,false
300,add derivatives for exponential integral,gxyd,2020-11-02T05:21:31.0,2020-11-09T11:51:11.0,true
296,use `sincos` in rules for `sin` and `cos`,gxyd,2020-10-25T13:11:32.0,2020-11-02T16:33:24.0,true
295,Make sure to only fastmath the right things,oxinabox,2020-10-23T11:54:22.0,2020-10-23T14:01:36.0,true
294,Method overwritten for frule/rrule on Base.round,alisiahkoohi,2020-10-22T17:59:14.0,2020-10-23T14:01:36.0,false
293,Make operations on BitArray's non-differentiable,oxinabox,2020-10-22T16:09:38.0,2020-12-03T09:00:14.0,false
292,add derivatives for exponential integrals,stevengj,2020-10-19T21:13:08.0,,false
291,use `sincos` in rules for sin and cos,oxinabox,2020-10-16T21:42:24.0,2020-11-02T16:33:24.0,false
290,WIP: Make getindex work for arrays with any eltype,oxinabox,2020-10-16T20:46:54.0,,true
288,stop manually unthunking composite,oxinabox,2020-10-15T16:53:12.0,2020-10-15T17:37:22.0,true
287,add rule for matrix negation,oxinabox,2020-10-14T12:11:24.0,2020-10-19T14:12:16.0,true
286,Swap to FiniteDIfferences v0.11: relax a bunch of constraints in tests,oxinabox,2020-10-14T10:34:37.0,2020-10-14T11:19:32.0,true
285,uplo variable missing for Cholesky rrule,wupeifan,2020-10-14T08:12:12.0,2020-10-15T11:06:37.0,false
284,using FiniteDifferences v0.11 required relaxing a bunch of tests,oxinabox,2020-10-13T15:48:22.0,2020-12-02T15:59:40.0,false
283,det and logdet for structured matrixes,oxinabox,2020-10-13T12:33:29.0,2020-10-16T14:06:10.0,true
282,Adds some missing unthunks,oxinabox,2020-10-13T11:25:08.0,2020-10-14T16:21:14.0,true
281,Smarter conjugation for inplace BLAS rules,oxinabox,2020-10-12T21:38:56.0,,false
280,Glue packages with working Pkg compat versioning,oxinabox,2020-10-12T15:45:14.0,,false
279,Correct inplace for complex BLAS and fix some accumulation against nondifferentails,oxinabox,2020-10-12T14:39:31.0,2020-10-14T19:57:18.0,true
278,Inplace Accumulation for complex BLAS wrong?,oxinabox,2020-10-12T11:00:44.0,2020-10-14T19:57:18.0,false
277,"add rules for round, floor, ceil",Moelf,2020-10-09T21:45:14.0,2020-10-22T15:23:39.0,true
276,"Matrix-Vector, Vector-Matrix, Vector-Vector product",oxinabox,2020-10-08T18:37:52.0,2020-11-17T21:02:20.0,false
275,Handle commutativity correctly in scalar rules,sethaxen,2020-10-07T05:30:07.0,,true
274,use add!! and rename _mulsubtrans!!,oxinabox,2020-10-05T16:57:02.0,2020-10-06T14:25:30.0,true
273,Efficient Inplace Accumulating Strided MatMul,oxinabox,2020-10-02T19:13:27.0,2020-10-20T15:22:00.0,true
272,fix typo in 4 arg gemm rrule,oxinabox,2020-09-30T17:32:04.0,2020-10-01T12:34:01.0,true
271,More Base's Array math into the Base ruleset folder,oxinabox,2020-09-29T11:37:12.0,2020-10-01T11:49:06.0,true
270,Add scalar-array / and \,oxinabox,2020-09-28T17:56:29.0,2020-09-29T10:52:02.0,true
269,add `ignore` from Zygote to support Zygote-like AD's,gxyd,2020-09-23T11:33:17.0,,true
268,Add Array * Scalar,oxinabox,2020-09-17T11:45:09.0,2020-09-17T14:19:30.0,true
267,Make sum of bool arrays nondiffernetiable,oxinabox,2020-09-16T12:57:51.0,,true
266,Correct rrule for reshape,oxinabox,2020-09-15T18:12:32.0,2020-09-16T14:11:16.0,true
265,Precompilation failure,baggepinnen,2020-09-14T06:44:17.0,2020-09-14T06:51:18.0,false
263,More restrictive @non_differentiable rand,nmheim,2020-09-08T15:20:47.0,2020-09-09T19:54:11.0,true
262,@non_differentiable rand,nmheim,2020-09-08T14:05:07.0,2020-09-10T08:38:06.0,false
261,"Gradient for dot(x,A,y)",mcabbott,2020-09-04T09:39:36.0,2020-10-23T08:59:29.0,true
260,delete non_diff Base.OneTo,oxinabox,2020-09-03T20:46:08.0,2020-09-03T20:47:10.0,true
259,Pin the Integration Test for Zygote to Julia 1.4,oxinabox,2020-09-03T20:38:10.0,2020-09-09T14:01:30.0,true
258,Don't use non-differentiation  on any constructors,ChrisRackauckas,2020-09-03T20:34:19.0,2020-09-03T21:18:58.0,true
257,New Non-Diff Rules can cause Zygote to change keyword arguments,ChrisRackauckas,2020-09-03T20:12:08.0,2020-09-03T21:18:58.0,false
255,add Base.sinc rule,stevengj,2020-08-29T14:08:44.0,2020-08-29T16:01:16.0,true
254,Missing rule from cumprod,longemen3000,2020-08-29T07:20:08.0,,false
253,Add missing non-differentiable rules with varargs,oxinabox,2020-08-28T15:34:40.0,,false
252,add nondiff rules,oxinabox,2020-08-28T15:31:31.0,2020-09-03T12:52:39.0,true
251,Rules for 3-argument dot,longemen3000,2020-08-25T05:28:34.0,2020-11-21T13:06:22.0,false
250,(Re)use factorizations in primal for \ etc in pullback ,DhairyaLGandhi,2020-08-24T20:27:13.0,,false
249,Remove thunks on scalars,willtebbutt,2020-08-20T08:30:39.0,2020-08-20T09:02:24.0,true
248,Pullback fails to inline with intervals,dpsanders,2020-08-20T01:46:22.0,,false
247,Bug in `rrule(*)`,dpsanders,2020-08-19T22:47:16.0,2020-08-20T09:02:24.0,false
246,Add basic sparse handling,DhairyaLGandhi,2020-08-18T11:28:21.0,,true
245,Restrict types in logdet,willtebbutt,2020-08-17T12:50:25.0,2020-08-17T13:21:29.0,true
244,logdet too general,willtebbutt,2020-08-17T11:01:31.0,2020-08-17T13:21:29.0,false
243,Documentation hasn't added tags since v0.3.2,ChrisRackauckas,2020-08-17T01:58:56.0,2020-08-17T07:50:20.0,false
256,ChainRules.ignore,willtebbutt,2020-07-24T14:14:42.0,,false
241,Move evalpoly to its own file,oxinabox,2020-07-22T20:22:04.0,2020-07-22T21:34:17.0,true
240,Inplace getindex rrule,oxinabox,2020-07-17T15:00:05.0,2020-10-19T14:13:06.0,true
239,simplify sum rrule,piever,2020-07-16T14:08:50.0,2020-07-16T15:47:17.0,true
238,More linear algebra rules,sethaxen,2020-07-16T06:17:51.0,2020-07-17T19:13:12.0,false
237,Can rules make decisions based on which primal method is used?,sethaxen,2020-07-16T00:25:38.0,,false
236,add adjoint for reduce hvcat,piever,2020-07-15T22:57:30.0,2020-07-16T20:05:47.0,true
235,Don't thunk if only one adjoint exists,sethaxen,2020-07-13T17:25:05.0,2020-07-13T17:57:20.0,true
234,Add logabsdet and test det and logdet on numbers,sethaxen,2020-07-12T19:33:47.0,2020-07-17T19:41:47.0,true
233,fix division return type ,CarloLucibello,2020-07-08T08:34:22.0,2020-07-10T19:16:59.0,true
232,Type Constraints,willtebbutt,2020-07-07T12:24:23.0,,false
231,Add github action for Zygote CI,sethaxen,2020-07-06T20:42:05.0,2020-07-06T21:56:17.0,true
230,Fixup naming convention `*_rrule` -> `*_pullback`,nickrobinson251,2020-07-06T11:14:30.0,2020-07-06T12:20:34.0,true
229,Should we run Zygote tests as part of CI?,nickrobinson251,2020-07-06T10:57:23.0,2020-07-06T21:57:40.0,false
228,Fix signature for MersenneTwister,sethaxen,2020-07-06T07:15:17.0,2020-07-06T11:11:06.0,true
227,"no method matching MersenneTwister(::typeof(abs2), ::Array{Complex{Float64},1})",baggepinnen,2020-07-06T06:14:46.0,2020-07-06T11:11:06.0,false
226,Add rules for specialized norm functions and normalize,sethaxen,2020-07-06T00:57:00.0,2020-12-06T11:54:44.0,true
225,Add rules for pinv,sethaxen,2020-07-03T10:09:07.0,2020-07-05T08:41:10.0,true
224,Improvements to numeric exponent rules,sethaxen,2020-07-02T01:35:31.0,2020-07-08T01:02:28.0,true
223,MersenneTwister,willtebbutt,2020-07-01T17:51:09.0,2020-07-05T23:04:12.0,true
222,Higher-Order functions: Low-hanging fruit,willtebbutt,2020-07-01T10:01:23.0,,false
221,Bump version number for release,sethaxen,2020-06-30T16:17:29.0,2020-06-30T16:51:28.0,true
220,Add complex tests and fix rules for BLAS functions,sethaxen,2020-06-30T07:59:03.0,2020-06-30T15:50:31.0,true
219,requires: remove unnecessary package loads,KristofferC,2020-06-29T16:24:38.0,2020-06-29T17:47:34.0,true
218,Fix complex array rules,sethaxen,2020-06-29T08:51:32.0,2020-06-29T22:34:17.0,true
217,Generalize and test the rrules for sum,sethaxen,2020-06-29T03:21:52.0,2020-06-30T19:48:53.0,true
216,Add missing complex tests and rules,sethaxen,2020-06-28T23:12:01.0,2020-06-30T15:00:41.0,true
215,Missing complex tests/rules for scalar functions,sethaxen,2020-06-27T21:34:31.0,2020-06-30T15:00:41.0,false
214,Missing tests for BLAS rules,sethaxen,2020-06-27T19:44:48.0,2020-06-30T15:50:31.0,false
213,"CompatHelper: bump compat for ""ChainRulesCore"" to ""0.9""",github-actions[bot],2020-06-27T00:12:38.0,2020-06-28T16:30:01.0,true
211,Fix rules for sign with complex input,sethaxen,2020-06-24T07:22:38.0,2020-06-28T16:45:01.0,true
210,Change convention for complex differentiation,sethaxen,2020-06-22T19:01:19.0,2020-06-30T22:49:39.0,false
209,Link to ColPrac,oxinabox,2020-06-22T10:28:49.0,2020-06-22T12:58:05.0,true
208,Derivatives of Bessel functions with respect to the order,devmotion,2020-06-16T12:29:52.0,,false
207,Remove constraints on primal from Composites for SVD and Cholesky,oxinabox,2020-06-10T17:22:41.0,2020-06-11T13:01:48.0,true
206,Support for svdvals,MikeInnes,2020-06-10T14:22:31.0,,false
205,SVD is broken in Zygote,MikeInnes,2020-06-10T14:19:48.0,2020-06-11T13:01:48.0,false
204,Add rrule for infinite-norm,sethaxen,2020-05-27T22:35:04.0,2020-12-06T11:54:44.0,false
203,Run Travis on latest stable release,sethaxen,2020-05-25T18:29:02.0,2020-05-25T20:22:57.0,true
202,Test against Julia 1.4 with Travis,sethaxen,2020-05-25T07:51:09.0,2020-05-25T20:26:07.0,false
201,Add rrules for triu/tril,sethaxen,2020-05-25T07:40:37.0,2020-05-25T20:52:58.0,true
200,Add more diag/diagm rrules,sethaxen,2020-05-25T07:20:29.0,2020-05-25T20:36:07.0,true
199,Rules for cross-product,sethaxen,2020-05-24T23:40:41.0,2020-06-22T18:20:29.0,true
198,"Bump compat for FiniteDifferences, ChainRulesCore, and ChainRulesTestUtils",sethaxen,2020-05-22T18:28:34.0,2020-06-28T16:29:44.0,true
197,ldexp does not have tests for forward mode,oxinabox,2020-05-21T20:31:07.0,,false
196,"Correct chainrules for abs2, abs, conj and angle",MasonProtter,2020-05-20T19:17:23.0,2020-06-28T00:39:02.0,true
195,Incorrect chain rule for `abs2`,MasonProtter,2020-05-20T18:00:27.0,2020-06-28T00:39:02.0,false
194,"CompatHelper: bump compat for ""ChainRulesCore"" to ""0.8""",github-actions[bot],2020-05-20T00:07:30.0,2020-05-20T10:50:57.0,true
193,[WIP] Symmetric/Hermitian power series rules,sethaxen,2020-05-17T10:11:27.0,,true
192,Caching computations in forward mode,sethaxen,2020-05-17T02:45:23.0,,false
191,Representing (co)tangents of structured matrices,sethaxen,2020-05-17T01:19:56.0,,false
190,Add rules for evalpoly,sethaxen,2020-05-08T09:15:10.0,2020-06-30T23:56:04.0,true
189,Switch to pullbacks only taking a single input,oxinabox,2020-05-07T22:34:39.0,2020-05-20T14:52:13.0,true
188,Custom rule for `convert` and `Array`,sethaxen,2020-05-07T16:29:11.0,,false
187,Rule for scalar zero(x) and one(x),mcabbott,2020-05-07T13:42:40.0,2020-05-24T12:49:39.0,true
