pkg,stars
SciML/DiffEqFlux.jl,613
SciML/DiffEqTutorials.jl,557
CliMA/Oceananigans.jl,540
SciML/NeuralPDE.jl,486
SciML/NeuralNetDiffEq.jl,486
CliMA/ClimateMachine.jl,353
JuliaLabs/Cassette.jl,314
rdeits/MeshCat.jl,176
cesaraustralia/DynamicGrids.jl,156
JuliaGPU/KernelAbstractions.jl,137
SciML/DiffEqGPU.jl,119
CEED/libCEED,111
zenna/Omega.jl,110
PSORLab/EAGO.jl,85
dfdx/Avalon.jl,74
oxinabox/AutoPreallocation.jl,74
triscale-innov/GFlops.jl,64
j-fu/VoronoiFVM.jl,62
vavrines/Kinetic.jl,59
vchuravy/GPUifyLoops.jl,58
JuliaRobotics/RigidBodySim.jl,55
SciML/SparsityDetection.jl,53
YingboMa/ForwardDiff2.jl,47
oxinabox/MagneticReadHead.jl,46
JuliaGPU/GemmKernels.jl,37
JuliaRobotics/MeshCatMechanisms.jl,36
JuliaRobotics/TORA.jl,27
JuliaPhysics/SolidStateDetectors.jl,26
thowell/ContactImplicitMPC.jl,25
RadiativeTransfer/RadiativeTransfer.jl,20
zenna/Lens.jl,19
JuliaGPU/DaggerGPU.jl,19
JuliaTesting/SimpleMock.jl,18
JuliaOcean/PlanktonIndividuals.jl,18
bcbi/PredictMD.jl,15
ThummeTo/FMIFlux.jl,11
vavrines/KitML.jl,10
killah-t-cell/Plasma.jl,8
thowell/RoboDojo.jl,8
Rapos0/MOSLab.jl,7
CliMA/Thermodynamics.jl,7
WIAS-BERLIN/PDELib.jl,7
ryanelandt/PressureFieldContact.jl,7
JuliaRobotics/Arena.jl,6
shashi/Amb.jl,6
chenwilliam77/RiskAdjustedLinearizations.jl,6
CliMA/CloudMicrophysics.jl,5
simon-lc/AlgamesDriving.jl,5
efmanu/SubspaceInference.jl,4
cesaraustralia/DynamicGridsInteract.jl,4
xzackli/ReferenceImplementations.jl,4
tomchor/Oceanostics.jl,4
RoboticExplorationLab/TrajOptPlots.jl,3
lcw/Bennu.jl,3
galran/Glimmer.jl,3
JuliaLinearAlgebra/BLASBenchmarksGPU.jl,3
CliMA/TurbulenceConvection.jl,2
aminya/AcuteBenchmark.jl,2
zenna/Callbacks.jl,1
vavrines/Solaris.jl,1
zenna/Spec.jl,1
CliMA/SurfaceFluxes.jl,1
galran/OpticSimVis.jl,0
bcbi/PredictMDFull.jl,0
janbruedigam/ConstrainedDynamicsVis.jl,0
onetonfoot/Bonsai.jl,0
