number,title,login,created_at,closed_at,is_pr
180,Is there a way to bail out of overdubbing? ,marius311,2020-11-18T02:43:35.0,2020-11-24T22:33:11.0,false
179,"Discriminating overdub calls for ""same"" function/args",robertfeldt,2020-10-27T15:41:58.0,,false
178,Code using Cassette fails for nightly builds,j-fu,2020-09-11T12:35:07.0,,false
177,test on 1.5,vchuravy,2020-08-19T14:38:09.0,2020-08-20T12:16:39.0,true
176,Overdubbing not working when function called from within `@threads for` loop,jwscook,2020-07-13T14:10:32.0,,false
175,Open discussion - support for dynamic pass creation,femtomc,2020-06-27T16:33:42.0,,false
174,Internal error when overdubbing HTTP.request,christopher-dG,2020-05-24T05:44:36.0,,false
173,Check for keyword function names differently on 1.4+,christopher-dG,2020-04-20T21:57:32.0,2020-04-21T02:48:20.0,true
172,"Handle `_apply_iterate` handling, but disable overdubbing of `iterf` in `_apply_iterate`",vchuravy,2020-04-17T14:15:40.0,2020-04-20T03:43:27.0,true
171,Tag new version,MasonProtter,2020-04-12T23:48:52.0,2020-04-20T13:38:48.0,false
170,Inference issues with accessing hcat-ed arrays ,freemin7,2020-02-19T00:57:31.0,,false
169,Don't define overdub and recurse with eval,MasonProtter,2020-02-18T20:26:48.0,2020-04-13T00:32:42.0,true
168,Make offset an argument of overdub_pass!,MasonProtter,2020-02-18T19:21:08.0,2020-04-13T00:32:53.0,true
167,start testing on julia 1.4,vchuravy,2020-02-18T16:25:21.0,2020-04-20T13:37:07.0,true
166,Handle throw as a builtin,vchuravy,2020-02-18T16:22:34.0,2020-02-18T16:28:16.0,true
165,Something with tagging is broken in 1.4,KristofferC,2020-01-28T13:49:42.0,2020-04-20T13:38:33.0,false
164,"Revert ""fix bug in Core._apply_iterate overdubbing, args[1] also needs to be overdubbed""",KristofferC,2020-01-27T16:17:49.0,2020-01-27T16:19:22.0,true
163,"fix bug in Core._apply_iterate overdubbing, args[1] also needs to be overdubbed",KristofferC,2020-01-27T15:33:36.0,2020-01-27T15:54:52.0,true
162,More problems with `_apply_iterate`?,KristofferC,2020-01-27T14:05:22.0,2020-01-27T15:54:51.0,false
161,Subtrace test broken on 1.4,KristofferC,2020-01-27T13:48:08.0,2020-04-21T02:48:20.0,false
160,Codegen inefficiency due to splatting,maleadt,2020-01-20T17:29:16.0,,false
159,Simple Tagging inference failure,shashi,2020-01-18T03:54:34.0,,false
158,Deal with _apply_iterate,vchuravy,2020-01-13T11:15:02.0,2020-01-20T20:20:33.0,true
157,ReflectOn: pick which method's body to rewrite,shashi,2020-01-13T03:28:55.0,,true
156,Workaround `UndefVarError: A not defined`,YingboMa,2020-01-10T23:17:03.0,,true
155,Cassette doesn't recurse through into `Core._apply_iterate`,KristofferC,2020-01-03T22:36:41.0,2020-01-20T20:20:33.0,false
154,Possible to get a patch release tagged?,ali-ramadhan,2019-12-22T15:00:55.0,2020-01-12T15:12:41.0,false
153,Inference issues with broadcasting,tshort,2019-10-18T19:33:27.0,,false
152,Using recurse with keywords,christopher-dG,2019-10-11T11:36:31.0,,false
151,Adds now-passing test of Overdubbing an Overdub (adding edges to function with edges),NHDaly,2019-10-10T18:27:41.0,2019-10-10T20:38:31.0,true
150,"In nested contexts `method_for_inference_limit_heuristics` is not properly set when there is an `overdub(::Ctx, f::Any,...)` method",shashi,2019-10-10T17:48:20.0,,false
149,Call pass function in newest world-age.,vchuravy,2019-10-04T04:40:50.0,2019-11-20T17:02:51.0,true
148,Remove `assert edges == nothing` since now Cassette isn't the only one using CodeInfo.edges! :),NHDaly,2019-10-03T17:15:23.0,2019-10-10T14:46:24.0,true
147,inference regression against julia 1.4-dev,shashi,2019-10-02T20:28:35.0,,false
146,Cassette doesn't recurse into `iterate` called from _apply,Keno,2019-09-21T05:15:28.0,,false
145,Method definition overdub(...) overwritten in module ...,dfdx,2019-09-17T20:31:36.0,2019-09-17T20:39:11.0,false
144,"Overdubbing `rand` or `randn` lead to error: ""this intrinsic must be compiled to be called""",DilumAluthge,2019-08-29T03:30:40.0,2019-08-29T07:28:29.0,false
143,PkgEval for 1.3,vchuravy,2019-08-28T09:21:34.0,2020-04-20T13:45:24.0,false
142,type DataType has no field var,torfjelde,2019-07-30T22:57:09.0,2019-08-04T16:08:47.0,false
141,fix typo,Roger-luo,2019-07-26T15:23:06.0,2019-07-26T22:16:16.0,true
140,"Revert ""fix method overwrite warning (replace #115, fix #113) (#119)""",vchuravy,2019-07-21T17:29:03.0,2019-07-22T14:05:48.0,true
139,Fix llvmcall overdubbing,vchuravy,2019-07-14T00:04:12.0,,true
138,Overdubbing things using llvmcall fail,oxinabox,2019-07-13T17:59:26.0,,false
137,"Fix for #89, overdub with invoke and optional arguments",tkoolen,2019-07-10T03:50:30.0,2019-07-13T09:21:53.0,true
136,"Call to `dot` with tagged input results in misplaced ""replaceglobalref""",shashi,2019-07-07T01:49:57.0,,false
135,add Project.toml,vchuravy,2019-07-02T18:17:47.0,2019-07-03T21:21:19.0,true
134,don't splat into _apply calls,vchuravy,2019-06-23T19:13:24.0,,true
133,Tagging causing inconsistent behavior,jarredbarber,2019-06-20T10:55:30.0,,false
132,An API to register an overdubbing REPL?,mbauman,2019-06-18T22:34:47.0,,false
131,Support at-overdub with assignments,mbauman,2019-06-18T22:30:48.0,,true
130,No-op overdub fails for `Base.typename` with UnionAll,mbauman,2019-06-18T20:37:42.0,,false
129,Set edges (fix 265!),vchuravy,2019-06-04T02:10:24.0,2019-06-17T16:18:46.0,true
128,fix overdub of invoked calloverload,vchuravy,2019-06-02T15:51:04.0,2019-06-04T11:23:44.0,true
127,Possible bug,shashikdm,2019-06-02T06:27:30.0,2019-06-04T11:23:44.0,false
126,"No method matching metadatatype(..., ::Type{Type})",baggepinnen,2019-06-01T09:57:09.0,,false
125,implement splatnew,vchuravy,2019-05-16T12:04:19.0,2019-06-29T21:26:45.0,true
124,Cassette error in PkgEval on 1.2 backport branch,KristofferC,2019-05-15T11:12:53.0,2019-08-04T16:07:12.0,false
123,Specialise less,oxinabox,2019-05-05T12:30:23.0,2019-08-04T10:20:03.0,true
122,Correct insert_statements ?,oxinabox,2019-04-21T12:40:01.0,2019-06-04T07:31:30.0,true
121,Renamed `@overdub` to `@recurse` ?,oxinabox,2019-04-20T18:37:12.0,2020-04-20T13:45:41.0,false
120,Task handling,vchuravy,2019-04-16T19:56:43.0,,false
119,"fix method overwrite warning (replace #115, fix #113)",jrevels,2019-04-04T16:37:38.0,2019-06-29T18:47:22.0,true
